DbaseID,Region,City,Source,TreeID,Park/Street,SpCode,ScientificName,CommonName,TreeType,Age,DBH (cm),TreeHt (m),AvgCdia (m),Leaf (m2),Lat,Long
1,InlVal,"Modesto, CA",Motown2.xls: Completed Data,1,Nursery,ACSA1,Acer saccharinum,Silver maple,BDL,0,2.5,2,1,2.5,37.639492,-121.015099
2,InlVal,"Modesto, CA",Motown2.xls: Completed Data,2,Nursery,BEPE,Betula pendula,European white birch,BDM,0,2.5,1.5,0.6,1.9,37.639492,-121.015099
3,InlVal,"Modesto, CA",Motown2.xls: Completed Data,3,Nursery,CESI4,Celtis sinensis,Chinese hackberry,BDL,0,2.5,1.8,0.7,2.2,37.639492,-121.015099
4,InlVal,"Modesto, CA",Motown2.xls: Completed Data,4,Nursery,CICA,Cinnamomum camphora,Camphor tree,BEM,0,2.5,2,1,2,37.639492,-121.015099
5,InlVal,"Modesto, CA",Motown2.xls: Completed Data,5,Nursery,FRAN_R,Fraxinus angustifolia 'Raywood',Raywood ash,BDM,0,2.5,2,1,2.2,37.639492,-121.015099
6,InlVal,"Modesto, CA",Motown2.xls: Completed Data,6,Nursery,FREX_H,Fraxinus excelsior 'Hessei',Hesse ash,BDL,0,2.5,2,0.8,2.2,37.639492,-121.015099
7,InlVal,"Modesto, CA",Motown2.xls: Completed Data,7,Nursery,FRHO,Fraxinus holotricha,Moraine ash,BDM,0,2.5,2,0.8,2.2,37.639492,-121.015099
8,InlVal,"Modesto, CA",Motown2.xls: Completed Data,8,Nursery,FRPE_M,Fraxinus pennsylvanica 'Marshall',Marshall ash,BDM,0,2.5,2,0.8,2.2,37.639492,-121.015099
9,InlVal,"Modesto, CA",Motown2.xls: Completed Data,9,Nursery,FRVE_G,Fraxinus velutina 'Modesto',Modesto ash,BDL,0,2.5,2,1,2.1,37.639492,-121.015099
10,InlVal,"Modesto, CA",Motown2.xls: Completed Data,10,Nursery,GIBI,Ginkgo biloba,Ginkgo,BDM,0,2.5,1.6,0.7,1.3,37.639492,-121.015099
11,InlVal,"Modesto, CA",Motown2.xls: Completed Data,11,Nursery,GLTR,Gleditsia triacanthos,Honeylocust,BDL,0,2.5,2,1.1,1.2,37.639492,-121.015099
12,InlVal,"Modesto, CA",Motown2.xls: Completed Data,12,Nursery,KOPA,Koelreuteria paniculata,Goldenrain tree,BDM,0,2.5,1.8,0.9,1.6,37.639492,-121.015099
13,InlVal,"Modesto, CA",Motown2.xls: Completed Data,13,Nursery,LAIN,Lagerstroemia indica,Common crapemyrtle,BDS,0,2.5,2.1,0.7,0.6,37.639492,-121.015099
